Id	Description	Qty	Unit	Designators
1	Cable, 4 x 24 AWG	0	m	W1
2	Connector, 4 pin, Y-CLS, 6 pins	1		FDM Printer
3	Connector, Molex SL 6 Way, Stepper Interface, 6 pins	1		DriverBoard
