Id	Description	Qty	Unit	Designators
1	Cable, 7 x 24 AWG	0	m	W1
2	Connector, DSUB 15, male, 15 pins	1		X1
3	Connector, SAMTEC Mini Mate IPD1, female, 10 pins	1		X2
