Id	Description	Qty	Unit	Designators
1	Cable, 2 wires	0	m	W1
2	Connector, Ferrules, 2 pins	1		Ferrules
3	Connector, Molex Mini-Fit Jr, 39-01-2040, 4 pins	1		MotherBoard Power
