Id	Description	Qty	Unit	Designators
1	Cable, 2 wires	0	m	W1
2	Connector, Ferrules, 2 pins	1		Ferrules
3	Connector, Molex SL 2 way Non-Trigger, 2 pins	1		24V Axial Fan
