Id	Description	Qty	Unit	Designators
1	Cable, 2 wires	0	m	W2
2	Cable, 4 wires	0	m	W1
3	Connector, 24V DC Axial Fan, 2 pins	1		X3
4	Connector, M12 Connector, male, 4 pins	1		X1
5	Connector, Molex Mini Fit Jr, female, 4 pins	1		X2
