Id	Description	Qty	Unit	Designators
1	Cable, 4 wires shielded	0	m	W1, W2
2	Connector, 5 pins	1		Technosoft Drive Motor
3	Connector, Molex SL 4 Way, 4 pins	1		Z Motor
