Id	Description	Qty	Unit	Designators
1	Cable, 7 wires	0	m	W1
2	Connector, DSUB 15 Male, LP50 X128 Bus Board, 15 pins	1		X1
3	Connector, SAMTEC Mini Mate IPD1, Female, 10 pins	1		X2
