Id	Description	Qty	Unit	Designators
1	Cable, 4 wires	0	m	W1
2	Connector, 4 pins	1		M12 Panel Mount Plug
3	Connector, Molex SL 4 Way, 4 pins	1		Molex Mini Fit Jr Plug
